make,carID,carID_and_Year,Chest_decel,L_Leg,R_Leg,D_P,Protection,Doors,Year,Wt,Size
Volkswagen,Volkswagen_Vanagon_GL,Volkswagen_Vanagon_GL_88,59,2930,1911,Driver,manual_belts,,88,3520,van
Volvo,Volvo_740_GLE,Volvo_740_GLE_88,42,1143,723,Driver,d_airbag,4,88,3010,med
Yugo,Yugo_GV,Yugo_GV_87,45,,701,Driver,manual_belts,2,87,1850,mini
Acura,Acura_Integra,Acura_Integra_87,34,387,354,Passenger,manual_belts,2,87,2350,lt
Acura,Acura_Integra_RS,Acura_Integra_RS_90,42,1684,1877,Passenger,Motorized_belts,4,90,2490,lt
Acura,Acura_Legend_LS,Acura_Legend_LS_88,41,730,722,Passenger,d_airbag,4,88,3280,med
Audi,Audi_80,Audi_80_89,39,324,245,Passenger,manual_belts,4,89,2790,comp
Audi,Audi_100,Audi_100_89,31,571,757,Passenger,d_airbag,4,89,3100,med
Buick,Buick_Century,Buick_Century_91,40,1014,179,Passenger,passive_belts,4,91,2992,comp
Buick,Buick_Elect._Park_Ave,Buick_Elect._Park_Ave_88,37,479,686,Passenger,manual_belts,4,88,3360,med
Buick,Buick_Le_Sabre,Buick_Le_Sabre_90,32,669,903,Passenger,passive_belts,2,90,3240,med
Buick,Buick_Regal,Buick_Regal_88,33,686,526,Passenger,passive_belts,2,88,3210,med
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_88,63,1695,576,Passenger,manual_belts,,88,3787,van
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_89,64,1901,365,Passenger,manual_belts,,89,4002,van
Chevrolet,Chevrolet_Beretta,Chevrolet_Beretta_91,35,910,230,Passenger,d_airbag,2,91,2671,comp
Chevrolet,Chevrolet_Beretta_GT,Chevrolet_Beretta_GT_88,42,1731,796,Passenger,passive_belts,2,88,2890,comp
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_87,39,961,144,Passenger,manual_belts,2,87,3070,med
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_91,42,627,174,Passenger,d_airbag,2,91,3191,med
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_89,42,260,495,Passenger,manual_belts,4,89,3693,hev
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_91,48,1527,626,Passenger,d_airbag,4,91,3990,hev
Chevrolet,Chevrolet_Cavalier,Chevrolet_Cavalier_90,37,1749,890,Passenger,passive_belts,4,90,2540,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_88,40,614,845,Passenger,manual_belts,4,88,2750,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_91,44,1377,424,Passenger,d_airbag,4,91,2830,comp
Chevrolet,Chevrolet_C-1500,Chevrolet_C-1500_88,46,1207,306,Passenger,manual_belts,,88,3680,pu
Chevrolet,Chevrolet_G-20_Beauville,Chevrolet_G-20_Beauville_87,43,1507,,Passenger,manual_belts,,87,4887,van
Chevrolet,Chevrolet_G-20,Chevrolet_G-20_88,56,2447,259,Passenger,manual_belts,,88,4244,van
Chevrolet,Chevrolet_Suburban,Chevrolet_Suburban_87,42,101,358,Passenger,manual_belts,4,87,5619,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_89,48,,,Passenger,manual_belts,2,89,3518,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_91,51,1909,515,Passenger,manual_belts,4,91,3820,mpv
Chevrolet,Chevrolet_S-10_Pickup,Chevrolet_S-10_Pickup_87,34,1476,699,Passenger,manual_belts,,87,2592,pu
Chevrolet,Chevrolet_S-10_Pickup_4x4,Chevrolet_S-10_Pickup_4x4_90,53,2046,804,Passenger,manual_belts,,90,3360,pu
Chrysler,Chrysler_Fifth_Ave,Chrysler_Fifth_Ave_89,43,766,575,Passenger,d_airbag,4,89,3820,hev
Chrysler,Chrysler_Imperial,Chrysler_Imperial_90,56,862,863,Passenger,d_airbag,4,90,3540,hev
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_87,82,1863,853,Passenger,passive_belts,2,87,2870,comp
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_90,46,1119,769,Passenger,d_airbag,2,90,3000,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_88,43,1580,454,Passenger,manual_belts,4,88,3190,med
Daihatsu,Daihatsu_Charade,Daihatsu_Charade_88,37,1188,388,Passenger,manual_belts,2,88,1820,mini
Dodge,Dodge_colt,Dodge_colt_88,38,402,1601,Passenger,manual_belts,4,88,2348,lt
Dodge,Dodge_D-150,Dodge_D-150_88,35,396,276,Passenger,manual_belts,,88,3550,pu
Dodge,Dodge_Dakota,Dodge_Dakota_87,41,213,460,Passenger,manual_belts,,87,3010,pu
Dodge,Dodge_Dakota_4x4,Dodge_Dakota_4x4_90,56,846,625,Passenger,manual_belts,,90,3740,pu
Dodge,Dodge_Daytona,Dodge_Daytona_89,32,795,457,Passenger,d_airbag,2,89,2790,comp
Dodge,Dodge_Shadow,Dodge_Shadow_87,36,748,486,Passenger,manual_belts,2,87,2550,comp
Dodge,Dodge_Shadow,Dodge_Shadow_91,39,739,781,Passenger,d_airbag,4,91,2730,comp
Dodge,Dodge_Spirit,Dodge_Spirit_89,45,1295,707,Passenger,manual_belts,4,89,2840,comp
Eagle,Eagle_Medallion,Eagle_Medallion_89,39,1738,1670,Passenger,Motorized_belts,4,89,2740,comp
Eagle,Eagle_Premier,Eagle_Premier_89,44,1011,685,Passenger,manual_belts,4,89,3060,med
Ford,Ford_Aerostar,Ford_Aerostar_87,54,518,446,Passenger,manual_belts,,87,3013,van
Ford,Ford_Bronco_II_4x4,Ford_Bronco_II_4x4_89,51,2110,289,Passenger,manual_belts,2,89,3485,mpv
Ford,Ford_Club_Wagon,Ford_Club_Wagon_90,49,3347,1294,Passenger,manual_belts,,90,5103,van
Ford,Ford_Escort,Ford_Escort_87,40,1053,619,Passenger,passive_belts,2,87,2280,lt
Ford,Ford_Escort,Ford_Escort_91,39,1055,1119,Passenger,Motorized_belts,2,91,2336,lt
Ford,Ford_F-150,Ford_F-150_88,38,1090,295,Passenger,manual_belts,,88,3757,pu
Ford,Ford_Festiva,Ford_Festiva_88,43,876,251,Passenger,manual_belts,2,88,1760,mini
Ford,Ford_Mustang_LX,Ford_Mustang_LX_87,34,1589,290,Passenger,manual_belts,2,87,2868,comp
Ford,Ford_Mustang,Ford_Mustang_90,50,1707,408,Passenger,d_airbag,2,90,3445,med
Ford,Ford_Probe,Ford_Probe_89,35,870,187,Passenger,manual_belts,2,89,2650,comp
Ford,Ford_Probe,Ford_Probe_91,45,1592,1033,Passenger,Motorized_belts,2,91,2810,comp
Ford,Ford_Ranger,Ford_Ranger_87,47,526,701,Passenger,manual_belts,,87,2668,pu
Ford,Ford_Ranger_4x4,Ford_Ranger_4x4_90,52,3200,282,Passenger,manual_belts,,90,3533,pu
Ford,Ford_Taurus,Ford_Taurus_88,47,775,438,Passenger,manual_belts,4,88,3140,med
Ford,Ford_Taurus,Ford_Taurus_90,40,1261,318,Passenger,d_airbag,4,90,3080,med
Ford,Ford_Taurus,Ford_Taurus_91,38,1594,708,Passenger,d_airbag,4,91,3290,med
Ford,Ford_Tempo,Ford_Tempo_88,50,1773,702,Passenger,passive_belts,4,88,2660,comp
Ford,Ford_T-Bird,Ford_T-Bird_89,40,1138,776,Passenger,Motorized_belts,2,89,3630,hev
Geo,Geo_Metro,Geo_Metro_89,33,671,571,Passenger,manual_belts,2,89,1590,mini
Geo,Geo_Metro,Geo_Metro_89,46,244,1002,Passenger,manual_belts,4,89,1650,mini
Geo,Geo_Prizm,Geo_Prizm_90,53,1549,447,Passenger,manual_belts,4,90,2355,lt
Geo,Geo_Storm,Geo_Storm_91,45,508,555,Passenger,d_airbag,2,91,2250,lt
Honda,Honda_Accord,Honda_Accord_87,36,695,558,Passenger,passive_belts,2,87,2440,lt
Honda,Honda_Accord_Dx,Honda_Accord_Dx_91,40,1452,900,Passenger,Motorized_belts,4,91,2850,comp
Honda,Honda_Accord_Lx,Honda_Accord_Lx_91,43,1015,562,Passenger,d_airbag,4,91,3160,med
Honda,Honda_Civic,Honda_Civic_91,47,2158,624,Passenger,Motorized_belts,4,91,2252,lt
Honda,Honda_Civic_Crx,Honda_Civic_Crx_89,37,903,375,Passenger,manual_belts,2,89,1882,mini
Honda,Honda_Civic_Dx,Honda_Civic_Dx_88,38,816,184,Passenger,manual_belts,2,88,2077,lt
Honda,Honda_Prelude,Honda_Prelude_90,48,674,733,Passenger,passive_belts,2,90,2650,comp
Hyundai,Hyundai_Excel,Hyundai_Excel_87,46,1794,1006,Passenger,passive_belts,4,87,2200,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_87,43,345,775,Passenger,manual_belts,2,87,2180,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_90,39,1921,964,Passenger,Motorized_belts,2,90,2200,lt
Hyundai,Hyundai_Scoupe,Hyundai_Scoupe_91,42,966,333,Passenger,passive_belts,2,91,2201,lt
Hyundai,Hyundai_Sonata,Hyundai_Sonata_89,53,603,293,Passenger,manual_belts,4,89,2850,comp
Infiniti,Infiniti_M-30,Infiniti_M-30_90,45,1132,716,Passenger,d_airbag,2,90,3370,med
Isuzu,Isuzu_Amigo,Isuzu_Amigo_90,63,319,458,Passenger,manual_belts,2,90,2900,mpv
Isuzu,Isuzu_I-Mark,Isuzu_I-Mark_87,51,747,225,Passenger,manual_belts,4,87,2100,lt
Isuzu,Isuzu_Rodeo,Isuzu_Rodeo_91,71,469,420,Passenger,manual_belts,4,91,3450,mpv
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_87,58,279,480,Passenger,manual_belts,,87,2766,pu
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_88,55,412,172,Passenger,manual_belts,,88,3128,pu
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_89,59,804,262,Passenger,manual_belts,4,89,3685,mpv
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_90,64,430,141,Passenger,manual_belts,4,90,3684,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_89,43,1486,337,Passenger,manual_belts,4,89,3284,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_90,52,1277,692,Passenger,manual_belts,4,90,3270,mpv
Jeep,Jeep_Comanche,Jeep_Comanche_87,48,923,761,Passenger,manual_belts,,87,2907,pu
Jeep,Jeep_Wrangler_YJ_4x4,Jeep_Wrangler_YJ_4x4_87,40,758,783,Passenger,manual_belts,2,87,3120,mpv
Lexus,Lexus_ES250,Lexus_ES250_90,47,1689,1075,Passenger,d_airbag,4,90,3280,med
Lincoln,Lincoln_Continental,Lincoln_Continental_89,,1326,1090,Passenger,d&p_airbags,4,89,3710,hev
Mazda,Mazda_626,Mazda_626_87,46,1300,1255,Passenger,passive_belts,4,87,2590,comp
Mazda,Mazda_929,Mazda_929_88,49,774,450,Passenger,manual_belts,4,88,3470,med
Mazda,Mazda_Miata,Mazda_Miata_90,42,796,763,Passenger,d_airbag,2,90,2190,lt
Mazda,Mazda_Mpv,Mazda_Mpv_91,48,579,776,Passenger,manual_belts,,91,3730,van
Mazda,Mazda_Protege,Mazda_Protege_91,51,851,997,Passenger,Motorized_belts,4,91,2417,lt
Mazda,Mazda_RX-7,Mazda_RX-7_88,48,1135,650,Passenger,manual_belts,2,88,2630,comp
Mercedes,Mercedes_190E,Mercedes_190E_90,58,1028,331,Passenger,d_airbag,4,90,3058,med
Mercury,Mercury_Sable,Mercury_Sable_88,35,1512,913,Passenger,manual_belts,4,88,3200,med
Mercury,Mercury_Topaz,Mercury_Topaz_87,40,1277,455,Passenger,d_airbag,4,87,2725,comp
Mercury,Mercury_Tracer,Mercury_Tracer_89,38,733,581,Passenger,manual_belts,4,89,2280,lt
Mitsubishi,Mitsubishi_Eclipse,Mitsubishi_Eclipse_90,40,1033,413,Passenger,Motorized_belts,2,90,2594,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_89,40,1229,526,Passenger,manual_belts,4,89,2740,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_91,53,1395,1232,Passenger,Motorized_belts,4,91,2838,comp
Mitsubishi,Mitsubishi_Mirage,Mitsubishi_Mirage_89,42,1367,1078,Passenger,Motorized_belts,4,89,2370,lt
Mitsubishi,Mitsubishi_Montero_4x4,Mitsubishi_Montero_4x4_88,50,1001,302,Passenger,manual_belts,2,88,3298,mpv
Mitsubishi,Mitsubishi_Starion,Mitsubishi_Starion_87,46,1752,1323,Passenger,passive_belts,2,87,3020,med
Mitsubishi,Mitsubishi_Wagon,Mitsubishi_Wagon_89,51,1607,791,Passenger,manual_belts,,89,3441,van
Nissan,Nissan_240sx,Nissan_240sx_89,44,656,854,Passenger,Motorized_belts,2,89,2680,comp
Nissan,Nissan_200sx,Nissan_200sx_87,37,740,89,Passenger,manual_belts,2,87,2739,comp
Nissan,Nissan_Axxess,Nissan_Axxess_90,46,1266,1143,Passenger,passive_belts,,90,3037,van
Nissan,Nissan_Maxima,Nissan_Maxima_89,44,664,1043,Passenger,Motorized_belts,4,89,3160,med
Nissan,Nissan_Maxima_SE,Nissan_Maxima_SE_88,49,1500,1049,Passenger,passive_belts,4,88,3210,med
Nissan,Nissan_NL_Xev_Pickup,Nissan_NL_Xev_Pickup_88,53,609,198,Passenger,manual_belts,,88,2631,pu
Nissan,Nissan_Pickup,Nissan_Pickup_87,45,531,617,Passenger,manual_belts,,87,2714,pu
Nissan,Nissan_Pickup,Nissan_Pickup_89,35,,332,Passenger,manual_belts,,89,2670,pu
Nissan,Nissan_Pulsar_Nx,Nissan_Pulsar_Nx_88,31,122,1742,Passenger,manual_belts,2,88,2480,lt
Nissan,Nissan_Sentra,Nissan_Sentra_87,,615,415,Passenger,manual_belts,4,87,2296,lt
Nissan,Nissan_Sentra,Nissan_Sentra_88,42,686,853,Passenger,manual_belts,4,88,2328,lt
Nissan,Nissan_Sentra,Nissan_Sentra_91,45,1210,,Passenger,Motorized_belts,2,91,2420,lt
Nissan,Nissan_Stanza,Nissan_Stanza_90,47,1205,744,Passenger,Motorized_belts,4,90,2790,comp
Nissan,Nissan_Van_Xe,Nissan_Van_Xe_88,36,1708,1331,Passenger,manual_belts,,88,3560,van
Oldsmobile,Oldsmobile_Calais,Oldsmobile_Calais_87,40,1737,555,Passenger,passive_belts,4,87,2650,comp
Oldsmobile,Oldsmobile_Delta_88,Oldsmobile_Delta_88_88,38,2119,593,Passenger,d_airbag,4,88,3460,med
Peugeot,Peugeot_505S,Peugeot_505S_89,77,839,554,Passenger,Motorized_belts,4,89,3010,med
Peugeot,Peugeot_505,Peugeot_505_87,50,546,176,Passenger,manual_belts,4,87,2900,comp
Peugeot,Peugeot_505_GLS,Peugeot_505_GLS_88,45,930,328,Passenger,passive_belts,4,88,3070,med
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_89,50,1552,873,Passenger,manual_belts,4,89,2820,comp
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_91,43,891,1117,Passenger,d_airbag,4,91,2860,comp
Plymouth,Plymouth_Voyager,Plymouth_Voyager_87,47,1595,275,Passenger,manual_belts,,87,3040,van
Pontiac,Pontiac_Grand_Am,Pontiac_Grand_Am_87,41,1848,529,Passenger,passive_belts,2,87,2530,comp
Pontiac,Pontiac_Le_Mans,Pontiac_Le_Mans_88,44,792,389,Passenger,manual_belts,2,88,2200,lt
Pontiac,Pontiac_Sunbird,Pontiac_Sunbird_87,37,1079,211,Passenger,manual_belts,4,87,2415,lt
Pontiac,Pontiac_Trans_Sport,Pontiac_Trans_Sport_90,37,253,287,Passenger,manual_belts,,90,3740,van
Renault,Renault_Medallion,Renault_Medallion_88,38,617,1193,Passenger,manual_belts,4,88,2660,comp
Saab,Saab_900S,Saab_900S_88,35,1395,1535,Passenger,passive_belts,2,88,2840,comp
Saab,Saab_9000,Saab_9000_87,35,346,638,Passenger,manual_belts,4,87,2990,comp
Saturn,Saturn_SL2,Saturn_SL2_91,46,1326,974,Passenger,Motorized_belts,4,91,2453,lt
Subaru,Subaru_GL,Subaru_GL_87,44,694,309,Passenger,manual_belts,4,87,2254,lt
Subaru,Subaru_Justy_DL,Subaru_Justy_DL_87,38,1256,426,Passenger,manual_belts,2,87,1660,mini
Subaru,Subaru_Legacy,Subaru_Legacy_90,44,1899,1121,Passenger,Motorized_belts,4,90,2640,comp
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_89,70,1860,2259,Passenger,manual_belts,2,89,2311,mpv
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_91,55,1283,1252,Passenger,manual_belts,2,91,2643,mpv
Toyota,Toyota_4-Runner_4x4,Toyota_4-Runner_4x4_90,47,1429,320,Passenger,manual_belts,4,90,3860,mpv
Toyota,Toyota_Camry,Toyota_Camry_87,46,1200,1167,Passenger,passive_belts,4,87,2780,comp
Toyota,Toyota_Celica,Toyota_Celica_90,37,1190,609,Passenger,d_airbag,2,90,2460,lt
Toyota,Toyota_Corolla_Fx,Toyota_Corolla_Fx_88,40,1162,393,Passenger,manual_belts,2,88,2320,lt
Toyota,Toyota_Corolla,Toyota_Corolla_89,45,894,681,Passenger,manual_belts,4,89,2370,lt
Toyota,Toyota_Corolla,Toyota_Corolla_91,,917,1469,Passenger,passive_belts,4,91,2405,lt
Toyota,Toyota_Cressida,Toyota_Cressida_89,51,1554,1107,Passenger,Motorized_belts,4,89,3450,med
Toyota,Toyota_Pickup,Toyota_Pickup_87,39,500,532,Passenger,manual_belts,,87,2508,pu
Toyota,Toyota_Pickup,Toyota_Pickup_89,46,614,493,Passenger,manual_belts,,89,2543,pu
Toyota,Toyota_Pickup_4x4,Toyota_Pickup_4x4_91,50,,781,Passenger,manual_belts,,91,3284,pu
Toyota,Toyota_Previa,Toyota_Previa_91,47,322,560,Passenger,manual_belts,,91,3642,van
Toyota,Toyota_Tercel,Toyota_Tercel_88,42,572,261,Passenger,manual_belts,2,88,2100,lt
Toyota,Toyota_Tercel,Toyota_Tercel_91,51,1325,949,Passenger,passive_belts,4,91,2120,lt
Toyota,Toyota_Van,Toyota_Van_89,54,2741,847,Passenger,manual_belts,,89,3277,van
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_87,52,723,450,Passenger,manual_belts,2,87,2140,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_88,44,,478,Passenger,manual_belts,2,88,2200,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_89,58,738,508,Passenger,manual_belts,2,89,2150,lt
Volkswagen,Volkswagen_Passat,Volkswagen_Passat_90,46,1154,2474,Passenger,Motorized_belts,4,90,2990,comp
Volkswagen,Volkswagen_Vanagon_GL,Volkswagen_Vanagon_GL_88,48,1963,1014,Passenger,manual_belts,,88,3520,van
Volvo,Volvo_740_GLE,Volvo_740_GLE_88,42,1793,634,Passenger,d_airbag,4,88,3010,med
Yugo,Yugo_GV,Yugo_GV_87,41,585,172,Passenger,manual_belts,2,87,1850,mini
