Show,Type,Revival,NYT_rating,DN_rating,Week_1_attendance,Award
A_Dolls_House,Play,Yes,5,2.66667,87.13,No_nomination
A_Dolls_House,Play,Yes,5,2.66667,87.13,Losing_nomination
A_Dolls_House,Play,Yes,5,2.66667,87.13,Win
A_Thousand_Clowns,Play,Yes,1.66667,2,100,No_nomination
A_Thousand_Clowns,Play,Yes,1.66667,2,100,Losing_nomination
A_Thousand_Clowns,Play,Yes,1.66667,2,100,Win
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,No_nomination
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Losing_nomination
A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Win
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,No_nomination
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Losing_nomination
Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Win
Amys_View,Play,No,3.66667,4.66667,90.72,No_nomination
Amys_View,Play,No,3.66667,4.66667,90.72,Losing_nomination
Amys_View,Play,No,3.66667,4.66667,90.72,Win
An_American_Daughter,Play,No,2.33333,2.33333,77.09,No_nomination
An_American_Daughter,Play,No,2.33333,2.33333,77.09,Losing_nomination
An_American_Daughter,Play,No,2.33333,2.33333,77.09,Win
Annie,Musical,Yes,1.66667,3,84.8,No_nomination
Annie,Musical,Yes,1.66667,3,84.8,Losing_nomination
Annie,Musical,Yes,1.66667,3,84.8,Win
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,No_nomination
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,Losing_nomination
Annie_Get_Your_Gun,Musical,Yes,2,4.33333,89.2,Win
Art,Play,No,4.66667,4.66667,90.35,No_nomination
Art,Play,No,4.66667,4.66667,90.35,Losing_nomination
Art,Play,No,4.66667,4.66667,90.35,Win
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,No_nomination
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Losing_nomination
Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Win
Barrymore,Play,No,4.33333,3.66667,53.69,No_nomination
Barrymore,Play,No,4.33333,3.66667,53.69,Losing_nomination
Barrymore,Play,No,4.33333,3.66667,53.69,Win
Cabaret,Musical,Yes,3.66667,5,92.19,No_nomination
Cabaret,Musical,Yes,3.66667,5,92.19,Losing_nomination
Cabaret,Musical,Yes,3.66667,5,92.19,Win
Candide,Musical,Yes,3,1.33333,82.61,No_nomination
Candide,Musical,Yes,3,1.33333,82.61,Losing_nomination
Candide,Musical,Yes,3,1.33333,82.61,Win
Chicago,Musical,Yes,5,5,97.02,No_nomination
Chicago,Musical,Yes,5,5,97.02,Losing_nomination
Chicago,Musical,Yes,5,5,97.02,Win
Closer,Play,No,1.66667,2.66667,88.91,No_nomination
Closer,Play,No,1.66667,2.66667,88.91,Losing_nomination
Closer,Play,No,1.66667,2.66667,88.91,Win
Death_of_a_Salesman,Play,Yes,5,5,86.67,No_nomination
Death_of_a_Salesman,Play,Yes,5,5,86.67,Losing_nomination
Death_of_a_Salesman,Play,Yes,5,5,86.67,Win
Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2,72.53,No_nomination
Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2,72.53,Losing_nomination
Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2,72.53,Win
Electra,Play,Yes,4.66667,4.33333,92.97,No_nomination
Electra,Play,Yes,4.66667,4.33333,92.97,Losing_nomination
Electra,Play,Yes,4.66667,4.33333,92.97,Win
Eugene_Onegin,Musical,Yes,,,40.66,No_nomination
Eugene_Onegin,Musical,Yes,,,40.66,Losing_nomination
Eugene_Onegin,Musical,Yes,,,40.66,Win
Footloose,Musical,No,1.33333,1.33333,70.07,No_nomination
Footloose,Musical,No,1.33333,1.33333,70.07,Losing_nomination
Footloose,Musical,No,1.33333,1.33333,70.07,Win
Forever_Tango,Musical_revue,No,2.66667,4,76.97,No_nomination
Forever_Tango,Musical_revue,No,2.66667,4,76.97,Losing_nomination
Forever_Tango,Musical_revue,No,2.66667,4,76.97,Win
Fosse!,Musical_revue,No,3,4,97.24,No_nomination
Fosse!,Musical_revue,No,3,4,97.24,Losing_nomination
Fosse!,Musical_revue,No,3,4,97.24,Win
Getting_and_Spending,Play,No,1.66667,1.66667,30.83,No_nomination
Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Losing_nomination
Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Win
God_Said_Ha!,Play,No,4.66667,2.33333,50.1,No_nomination
God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Losing_nomination
God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Win
Golden_Child,Play,No,2,1.66667,40.04,No_nomination
Golden_Child,Play,No,2,1.66667,40.04,Losing_nomination
Golden_Child,Play,No,2,1.66667,40.04,Win
High_Society,Musical,No,1.66667,2,64.87,No_nomination
High_Society,Musical,No,1.66667,2,64.87,Losing_nomination
High_Society,Musical,No,1.66667,2,64.87,Win
Honour,Play,No,3.33333,3.33333,46.75,No_nomination
Honour,Play,No,3.33333,3.33333,46.75,Losing_nomination
Honour,Play,No,3.33333,3.33333,46.75,Win
Hughie,Play,Yes,4,2,101.58,No_nomination
Hughie,Play,Yes,4,2,101.58,Losing_nomination
Hughie,Play,Yes,4,2,101.58,Win
Into_the_Whirlwind,Play,No,,,,No_nomination
Into_the_Whirlwind,Play,No,,,,Losing_nomination
Into_the_Whirlwind,Play,No,,,,Win
It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,No_nomination
It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Losing_nomination
It_Aint_Nothin_But_the_Blues,Musical_revue,No,4.33333,4.33333,49.4,Win
Ivanov,Play,Yes,4,1.66667,92.1,No_nomination
Ivanov,Play,Yes,4,1.66667,92.1,Losing_nomination
Ivanov,Play,Yes,4,1.66667,92.1,Win
Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,No_nomination
Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Losing_nomination
Jackie_-_An_American_Life,Play,No,2.33333,1.66667,34.74,Win
Jekyll_and_Hyde,Musical,No,1.66667,4,67.76,No_nomination
Jekyll_and_Hyde,Musical,No,1.66667,4,67.76,Losing_nomination
Jekyll_and_Hyde,Musical,No,1.66667,4,67.76,Win
Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4,50.76,No_nomination
Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4,50.76,Losing_nomination
Juan_Darien_-_A_Carnival_Mass,Musical,No,3.66667,4,50.76,Win
King_David,Musical,No,2,2.33333,68.75,No_nomination
King_David,Musical,No,2,2.33333,68.75,Losing_nomination
King_David,Musical,No,2,2.33333,68.75,Win
Little_Me,Musical,Yes,3,2.66667,90.61,No_nomination
Little_Me,Musical,Yes,3,2.66667,90.61,Losing_nomination
Little_Me,Musical,Yes,3,2.66667,90.61,Win
London_Assurance,Play,Yes,4.66667,5,95.54,No_nomination
London_Assurance,Play,Yes,4.66667,5,95.54,Losing_nomination
London_Assurance,Play,Yes,4.66667,5,95.54,Win
Marlene,Musical,No,1.66667,2,56.26,No_nomination
Marlene,Musical,No,1.66667,2,56.26,Losing_nomination
Marlene,Musical,No,1.66667,2,56.26,Win
More_to_Love,Play,No,1.33333,2,,No_nomination
More_to_Love,Play,No,1.33333,2,,Losing_nomination
More_to_Love,Play,No,1.33333,2,,Win
Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,No_nomination
Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,Losing_nomination
Night_Must_Fall,Play,Yes,4.33333,1.66667,73.27,Win
Not_About_Nightingales,Play,No,4.33333,4,81.77,No_nomination
Not_About_Nightingales,Play,No,4.33333,4,81.77,Losing_nomination
Not_About_Nightingales,Play,No,4.33333,4,81.77,Win
On_the_Town,Musical,Yes,1.66667,1.66667,77.31,No_nomination
On_the_Town,Musical,Yes,1.66667,1.66667,77.31,Losing_nomination
On_the_Town,Musical,Yes,1.66667,1.66667,77.31,Win
Once_Upon_a_Mattress,Musical,Yes,2,3.33333,91.71,No_nomination
Once_Upon_a_Mattress,Musical,Yes,2,3.33333,91.71,Losing_nomination
Once_Upon_a_Mattress,Musical,Yes,2,3.33333,91.71,Win
Parade,Musical,No,2,4.66667,62.87,No_nomination
Parade,Musical,No,2,4.66667,62.87,Losing_nomination
Parade,Musical,No,2,4.66667,62.87,Win
Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,No_nomination
Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,Losing_nomination
Peter_Pan,Musical,Yes,3.33333,3.33333,93.2,Win
Play_On!,Musical,No,2.33333,2.66667,79.9,No_nomination
Play_On!,Musical,No,2.33333,2.66667,79.9,Losing_nomination
Play_On!,Musical,No,2.33333,2.66667,79.9,Win
Present_Laughter,Play,Yes,3,2,83.33,No_nomination
Present_Laughter,Play,Yes,3,2,83.33,Losing_nomination
Present_Laughter,Play,Yes,3,2,83.33,Win
Proposals,Play,No,2,3,56.94,No_nomination
Proposals,Play,No,2,3,56.94,Losing_nomination
Proposals,Play,No,2,3,56.94,Win
Ragtime,Musical,No,3,5,90.97,No_nomination
Ragtime,Musical,No,3,5,90.97,Losing_nomination
Ragtime,Musical,No,3,5,90.97,Win
Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,No_nomination
Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,Losing_nomination
Ring_Around_the_Moon,Play,Yes,1.33333,1.33333,46.92,Win
Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,No_nomination
Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,Losing_nomination
Rolling_on_the_T.O.B.A.,Musical_revue,No,3.66667,3.66667,,Win
Sex_and_Longing,Play,No,2.66667,1,87.56,No_nomination
Sex_and_Longing,Play,No,2.66667,1,87.56,Losing_nomination
Sex_and_Longing,Play,No,2.66667,1,87.56,Win
Side_Man,Play,No,4.66667,5,92.41,No_nomination
Side_Man,Play,No,4.66667,5,92.41,Losing_nomination
Side_Man,Play,No,4.66667,5,92.41,Win
Side_Show,Musical,No,4.33333,2.33333,61.93,No_nomination
Side_Show,Musical,No,4.33333,2.33333,61.93,Losing_nomination
Side_Show,Musical,No,4.33333,2.33333,61.93,Win
Skylight,Play,No,4.66667,4.66667,96.89,No_nomination
Skylight,Play,No,4.66667,4.66667,96.89,Losing_nomination
Skylight,Play,No,4.66667,4.66667,96.89,Win
Stanley,Play,No,3.66667,2.33333,96.65,No_nomination
Stanley,Play,No,3.66667,2.33333,96.65,Losing_nomination
Stanley,Play,No,3.66667,2.33333,96.65,Win
Steel_Pier,Musical,No,1.66667,2,82.31,No_nomination
Steel_Pier,Musical,No,1.66667,2,82.31,Losing_nomination
Steel_Pier,Musical,No,1.66667,2,82.31,Win
Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,No_nomination
Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,Losing_nomination
Street_Corner_Symphony,Musical_revue,No,1.66667,2.33333,54.75,Win
Summer_and_Smoke,Play,Yes,1,,96.69,No_nomination
Summer_and_Smoke,Play,Yes,1,,96.69,Losing_nomination
Summer_and_Smoke,Play,Yes,1,,96.69,Win
Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,No_nomination
Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,Losing_nomination
Swan_Lake,Musical,Yes,3.66667,2.33333,86.04,Win
Taking_Sides,Play,No,2,4,80.88,No_nomination
Taking_Sides,Play,No,2,4,80.88,Losing_nomination
Taking_Sides,Play,No,2,4,80.88,Win
The_Beauty_Queen_of_Leenane,Play,No,5,5,87.23,No_nomination
The_Beauty_Queen_of_Leenane,Play,No,5,5,87.23,Losing_nomination
The_Beauty_Queen_of_Leenane,Play,No,5,5,87.23,Win
The_Blue_Room,Play,No,3,5,97.29,No_nomination
The_Blue_Room,Play,No,3,5,97.29,Losing_nomination
The_Blue_Room,Play,No,3,5,97.29,Win
The_Capeman,Musical,No,1.66667,2.33333,70.36,No_nomination
The_Capeman,Musical,No,1.66667,2.33333,70.36,Losing_nomination
The_Capeman,Musical,No,1.66667,2.33333,70.36,Win
The_Chairs,Play,Yes,5,4.66667,65.22,No_nomination
The_Chairs,Play,Yes,5,4.66667,65.22,Losing_nomination
The_Chairs,Play,Yes,5,4.66667,65.22,Win
The_Cherry_Orchard,Play,Yes,5,5,60,No_nomination
The_Cherry_Orchard,Play,Yes,5,5,60,Losing_nomination
The_Cherry_Orchard,Play,Yes,5,5,60,Win
The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,No_nomination
The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,Losing_nomination
The_Civil_War:_An_American_Musical,Musical,No,1.33333,2.66667,57.3,Win
The_Deep_Blue_Sea,Play,Yes,2,2,88.2,No_nomination
The_Deep_Blue_Sea,Play,Yes,2,2,88.2,Losing_nomination
The_Deep_Blue_Sea,Play,Yes,2,2,88.2,Win
The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,No_nomination
The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,Losing_nomination
The_Diary_of_Anne_Frank,Play,Yes,1.66667,3.33333,71.75,Win
The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1,1.66667,60.59,No_nomination
The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1,1.66667,60.59,Losing_nomination
The_Gershwins_Fascinating_Rhythm,Musical_revue,No,1,1.66667,60.59,Win
The_Gin_Game,Play,Yes,4.66667,5,71.9,No_nomination
The_Gin_Game,Play,Yes,4.66667,5,71.9,Losing_nomination
The_Gin_Game,Play,Yes,4.66667,5,71.9,Win
The_Herbal_Bed,Play,No,2,1.66667,29.35,No_nomination
The_Herbal_Bed,Play,No,2,1.66667,29.35,Losing_nomination
The_Herbal_Bed,Play,No,2,1.66667,29.35,Win
The_Iceman_Cometh,Play,Yes,4,5,99.94,No_nomination
The_Iceman_Cometh,Play,Yes,4,5,99.94,Losing_nomination
The_Iceman_Cometh,Play,Yes,4,5,99.94,Win
The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,No_nomination
The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,Losing_nomination
The_Judas_Kiss,Play,No,1.66667,3.66667,79.69,Win
The_Last_Night_of_Ballyhoo,Play,No,3,4.33333,81.39,No_nomination
The_Last_Night_of_Ballyhoo,Play,No,3,4.33333,81.39,Losing_nomination
The_Last_Night_of_Ballyhoo,Play,No,3,4.33333,81.39,Win
The_Life,Musical,No,2.33333,2,44.08,No_nomination
The_Life,Musical,No,2.33333,2,44.08,Losing_nomination
The_Life,Musical,No,2.33333,2,44.08,Win
The_Lion_in_Winter,Play,Yes,2,1.66667,92.21,No_nomination
The_Lion_in_Winter,Play,Yes,2,1.66667,92.21,Losing_nomination
The_Lion_in_Winter,Play,Yes,2,1.66667,92.21,Win
The_Lion_King,Musical,No,3.33333,5,96.63,No_nomination
The_Lion_King,Musical,No,3.33333,5,96.63,Losing_nomination
The_Lion_King,Musical,No,3.33333,5,96.63,Win
The_Little_Foxes,Play,Yes,1.66667,2,74.4,No_nomination
The_Little_Foxes,Play,Yes,1.66667,2,74.4,Losing_nomination
The_Little_Foxes,Play,Yes,1.66667,2,74.4,Win
The_Lonesome_West,Play,No,2.66667,5,42.33,No_nomination
The_Lonesome_West,Play,No,2.66667,5,42.33,Losing_nomination
The_Lonesome_West,Play,No,2.66667,5,42.33,Win
The_Old_Neighborhood,Play,No,5,3,83.91,No_nomination
The_Old_Neighborhood,Play,No,5,3,83.91,Losing_nomination
The_Old_Neighborhood,Play,No,5,3,83.91,Win
The_Rehearsal,Play,Yes,2,1.33333,73.85,No_nomination
The_Rehearsal,Play,Yes,2,1.33333,73.85,Losing_nomination
The_Rehearsal,Play,Yes,2,1.33333,73.85,Win
The_Scarlet_Pimpernel,Musical,No,2,2.66667,92.78,No_nomination
The_Scarlet_Pimpernel,Musical,No,2,2.66667,92.78,Losing_nomination
The_Scarlet_Pimpernel,Musical,No,2,2.66667,92.78,Win
The_Sound_of_Music,Musical,Yes,2.66667,2,87.43,No_nomination
The_Sound_of_Music,Musical,Yes,2.66667,2,87.43,Losing_nomination
The_Sound_of_Music,Musical,Yes,2.66667,2,87.43,Win
The_Sunshine_Boys,Play,Yes,4.33333,5,65.21,No_nomination
The_Sunshine_Boys,Play,Yes,4.33333,5,65.21,Losing_nomination
The_Sunshine_Boys,Play,Yes,4.33333,5,65.21,Win
The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,No_nomination
The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,Losing_nomination
The_Three_Sisters_(1),Play,Yes,4.66667,1.66667,,Win
The_Three_Sisters_(2),Play,Yes,3,1.66667,100,No_nomination
The_Three_Sisters_(2),Play,Yes,3,1.66667,100,Losing_nomination
The_Three_Sisters_(2),Play,Yes,3,1.66667,100,Win
The_Weir,Play,No,5,4.66667,91.91,No_nomination
The_Weir,Play,No,5,4.66667,91.91,Losing_nomination
The_Weir,Play,No,5,4.66667,91.91,Win
The_Young_Man_From_Atlanta,Play,No,3.33333,5,56.99,No_nomination
The_Young_Man_From_Atlanta,Play,No,3.33333,5,56.99,Losing_nomination
The_Young_Man_From_Atlanta,Play,No,3.33333,5,56.99,Win
Titanic,Musical,No,2,3,71.26,No_nomination
Titanic,Musical,No,2,3,71.26,Losing_nomination
Titanic,Musical,No,2,3,71.26,Win
Triumph_of_Love,Musical,No,2,4.33333,77.28,No_nomination
Triumph_of_Love,Musical,No,2,4.33333,77.28,Losing_nomination
Triumph_of_Love,Musical,No,2,4.33333,77.28,Win
Twelfth_Night,Play,Yes,3,5,97.47,No_nomination
Twelfth_Night,Play,Yes,3,5,97.47,Losing_nomination
Twelfth_Night,Play,Yes,3,5,97.47,Win
Wait_Until_Dark,Play,Yes,1.66667,1,92.44,No_nomination
Wait_Until_Dark,Play,Yes,1.66667,1,92.44,Losing_nomination
Wait_Until_Dark,Play,Yes,1.66667,1,92.44,Win
Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2,2,54.05,No_nomination
Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2,2,54.05,Losing_nomination
Youre_a_Good_Man_Charlie_Brown,Musical,Yes,2,2,54.05,Win
1776,Musical,Yes,4.33333,5,99.15,No_nomination
1776,Musical,Yes,4.33333,5,99.15,Losing_nomination
1776,Musical,Yes,4.33333,5,99.15,Win
