Age,Time_of_survey,Schooling,Region,Count
19-29,1991,Basic_incomplete,West_Germany,1
19-29,1991,Basic,West_Germany,5
19-29,1991,Medium,West_Germany,10
19-29,1991,Upper_medium,West_Germany,3
19-29,1991,Intensive,West_Germany,8
19-29,1991,Basic_incomplete,East_Germany,0
19-29,1991,Basic,East_Germany,0
19-29,1991,Medium,East_Germany,2
19-29,1991,Upper_medium,East_Germany,0
19-29,1991,Intensive,East_Germany,2
19-29,1991,Basic_incomplete,West_Germany,3
19-29,1991,Basic,West_Germany,63
19-29,1991,Medium,West_Germany,88
19-29,1991,Upper_medium,West_Germany,22
19-29,1991,Intensive,West_Germany,78
19-29,1991,Basic_incomplete,East_Germany,2
19-29,1991,Basic,East_Germany,13
19-29,1991,Medium,East_Germany,103
19-29,1991,Upper_medium,East_Germany,6
19-29,1991,Intensive,East_Germany,29
19-29,1991,Basic_incomplete,West_Germany,1
19-29,1991,Basic,West_Germany,25
19-29,1991,Medium,West_Germany,18
19-29,1991,Upper_medium,West_Germany,5
19-29,1991,Intensive,West_Germany,9
19-29,1991,Basic_incomplete,East_Germany,1
19-29,1991,Basic,East_Germany,5
19-29,1991,Medium,East_Germany,53
19-29,1991,Upper_medium,East_Germany,1
19-29,1991,Intensive,East_Germany,12
19-29,1991,Basic_incomplete,West_Germany,2
19-29,1991,Basic,West_Germany,2
19-29,1991,Medium,West_Germany,0
19-29,1991,Upper_medium,West_Germany,0
19-29,1991,Intensive,West_Germany,1
19-29,1991,Basic_incomplete,East_Germany,0
19-29,1991,Basic,East_Germany,0
19-29,1991,Medium,East_Germany,4
19-29,1991,Upper_medium,East_Germany,0
19-29,1991,Intensive,East_Germany,3
30-44,1991,Basic_incomplete,West_Germany,0
30-44,1991,Basic,West_Germany,24
30-44,1991,Medium,West_Germany,17
30-44,1991,Upper_medium,West_Germany,3
30-44,1991,Intensive,West_Germany,11
30-44,1991,Basic_incomplete,East_Germany,0
30-44,1991,Basic,East_Germany,3
30-44,1991,Medium,East_Germany,7
30-44,1991,Upper_medium,East_Germany,0
30-44,1991,Intensive,East_Germany,1
30-44,1991,Basic_incomplete,West_Germany,1
30-44,1991,Basic,West_Germany,135
30-44,1991,Medium,West_Germany,89
30-44,1991,Upper_medium,West_Germany,26
30-44,1991,Intensive,West_Germany,68
30-44,1991,Basic_incomplete,East_Germany,3
30-44,1991,Basic,East_Germany,39
30-44,1991,Medium,East_Germany,198
30-44,1991,Upper_medium,East_Germany,7
30-44,1991,Intensive,East_Germany,52
30-44,1991,Basic_incomplete,West_Germany,1
30-44,1991,Basic,West_Germany,34
30-44,1991,Medium,West_Germany,14
30-44,1991,Upper_medium,West_Germany,1
30-44,1991,Intensive,West_Germany,10
30-44,1991,Basic_incomplete,East_Germany,4
30-44,1991,Basic,East_Germany,27
30-44,1991,Medium,East_Germany,86
30-44,1991,Upper_medium,East_Germany,7
30-44,1991,Intensive,East_Germany,17
30-44,1991,Basic_incomplete,West_Germany,0
30-44,1991,Basic,West_Germany,2
30-44,1991,Medium,West_Germany,1
30-44,1991,Upper_medium,West_Germany,0
30-44,1991,Intensive,West_Germany,1
30-44,1991,Basic_incomplete,East_Germany,1
30-44,1991,Basic,East_Germany,7
30-44,1991,Medium,East_Germany,9
30-44,1991,Upper_medium,East_Germany,0
30-44,1991,Intensive,East_Germany,1
45-59,1991,Basic_incomplete,West_Germany,0
45-59,1991,Basic,West_Germany,26
45-59,1991,Medium,West_Germany,4
45-59,1991,Upper_medium,West_Germany,2
45-59,1991,Intensive,West_Germany,5
45-59,1991,Basic_incomplete,East_Germany,0
45-59,1991,Basic,East_Germany,4
45-59,1991,Medium,East_Germany,0
45-59,1991,Upper_medium,East_Germany,0
45-59,1991,Intensive,East_Germany,2
45-59,1991,Basic_incomplete,West_Germany,2
45-59,1991,Basic,West_Germany,120
45-59,1991,Medium,West_Germany,62
45-59,1991,Upper_medium,West_Germany,17
45-59,1991,Intensive,West_Germany,29
45-59,1991,Basic_incomplete,East_Germany,14
45-59,1991,Basic,East_Germany,134
45-59,1991,Medium,East_Germany,50
45-59,1991,Upper_medium,East_Germany,5
45-59,1991,Intensive,East_Germany,32
45-59,1991,Basic_incomplete,West_Germany,1
45-59,1991,Basic,West_Germany,27
45-59,1991,Medium,West_Germany,10
45-59,1991,Upper_medium,West_Germany,2
45-59,1991,Intensive,West_Germany,3
45-59,1991,Basic_incomplete,East_Germany,13
45-59,1991,Basic,East_Germany,61
45-59,1991,Medium,East_Germany,18
45-59,1991,Upper_medium,East_Germany,3
45-59,1991,Intensive,East_Germany,18
45-59,1991,Basic_incomplete,West_Germany,0
45-59,1991,Basic,West_Germany,6
45-59,1991,Medium,West_Germany,2
45-59,1991,Upper_medium,West_Germany,0
45-59,1991,Intensive,West_Germany,0
45-59,1991,Basic_incomplete,East_Germany,1
45-59,1991,Basic,East_Germany,7
45-59,1991,Medium,East_Germany,3
45-59,1991,Upper_medium,East_Germany,0
45-59,1991,Intensive,East_Germany,2
60-74,1991,Basic_incomplete,West_Germany,2
60-74,1991,Basic,West_Germany,41
60-74,1991,Medium,West_Germany,12
60-74,1991,Upper_medium,West_Germany,1
60-74,1991,Intensive,West_Germany,7
60-74,1991,Basic_incomplete,East_Germany,0
60-74,1991,Basic,East_Germany,4
60-74,1991,Medium,East_Germany,1
60-74,1991,Upper_medium,East_Germany,0
60-74,1991,Intensive,East_Germany,0
60-74,1991,Basic_incomplete,West_Germany,6
60-74,1991,Basic,West_Germany,107
60-74,1991,Medium,West_Germany,32
60-74,1991,Upper_medium,West_Germany,4
60-74,1991,Intensive,West_Germany,26
60-74,1991,Basic_incomplete,East_Germany,7
60-74,1991,Basic,East_Germany,81
60-74,1991,Medium,East_Germany,15
60-74,1991,Upper_medium,East_Germany,1
60-74,1991,Intensive,East_Germany,12
60-74,1991,Basic_incomplete,West_Germany,1
60-74,1991,Basic,West_Germany,18
60-74,1991,Medium,West_Germany,3
60-74,1991,Upper_medium,West_Germany,0
60-74,1991,Intensive,West_Germany,2
60-74,1991,Basic_incomplete,East_Germany,6
60-74,1991,Basic,East_Germany,56
60-74,1991,Medium,East_Germany,8
60-74,1991,Upper_medium,East_Germany,1
60-74,1991,Intensive,East_Germany,7
60-74,1991,Basic_incomplete,West_Germany,1
60-74,1991,Basic,West_Germany,3
60-74,1991,Medium,West_Germany,0
60-74,1991,Upper_medium,West_Germany,0
60-74,1991,Intensive,West_Germany,0
60-74,1991,Basic_incomplete,East_Germany,1
60-74,1991,Basic,East_Germany,5
60-74,1991,Medium,East_Germany,0
60-74,1991,Upper_medium,East_Germany,0
60-74,1991,Intensive,East_Germany,0
75+,1991,Basic_incomplete,West_Germany,1
75+,1991,Basic,West_Germany,8
75+,1991,Medium,West_Germany,3
75+,1991,Upper_medium,West_Germany,1
75+,1991,Intensive,West_Germany,2
75+,1991,Basic_incomplete,East_Germany,0
75+,1991,Basic,East_Germany,3
75+,1991,Medium,East_Germany,0
75+,1991,Upper_medium,East_Germany,0
75+,1991,Intensive,East_Germany,0
75+,1991,Basic_incomplete,West_Germany,1
75+,1991,Basic,West_Germany,28
75+,1991,Medium,West_Germany,8
75+,1991,Upper_medium,West_Germany,3
75+,1991,Intensive,West_Germany,6
75+,1991,Basic_incomplete,East_Germany,5
75+,1991,Basic,East_Germany,16
75+,1991,Medium,East_Germany,1
75+,1991,Upper_medium,East_Germany,1
75+,1991,Intensive,East_Germany,3
75+,1991,Basic_incomplete,West_Germany,0
75+,1991,Basic,West_Germany,9
75+,1991,Medium,West_Germany,2
75+,1991,Upper_medium,West_Germany,0
75+,1991,Intensive,West_Germany,0
75+,1991,Basic_incomplete,East_Germany,0
75+,1991,Basic,East_Germany,10
75+,1991,Medium,East_Germany,1
75+,1991,Upper_medium,East_Germany,0
75+,1991,Intensive,East_Germany,1
75+,1991,Basic_incomplete,West_Germany,1
75+,1991,Basic,West_Germany,0
75+,1991,Medium,West_Germany,0
75+,1991,Upper_medium,West_Germany,0
75+,1991,Intensive,West_Germany,0
75+,1991,Basic_incomplete,East_Germany,0
75+,1991,Basic,East_Germany,1
75+,1991,Medium,East_Germany,0
75+,1991,Upper_medium,East_Germany,0
75+,1991,Intensive,East_Germany,0
19-29,1992,Basic_incomplete,West_Germany,0
19-29,1992,Basic,West_Germany,6
19-29,1992,Medium,West_Germany,4
19-29,1992,Upper_medium,West_Germany,0
19-29,1992,Intensive,West_Germany,7
19-29,1992,Basic_incomplete,East_Germany,0
19-29,1992,Basic,East_Germany,0
19-29,1992,Medium,East_Germany,0
19-29,1992,Upper_medium,East_Germany,0
19-29,1992,Intensive,East_Germany,0
19-29,1992,Basic_incomplete,West_Germany,2
19-29,1992,Basic,West_Germany,68
19-29,1992,Medium,West_Germany,101
19-29,1992,Upper_medium,West_Germany,17
19-29,1992,Intensive,West_Germany,100
19-29,1992,Basic_incomplete,East_Germany,1
19-29,1992,Basic,East_Germany,8
19-29,1992,Medium,East_Germany,58
19-29,1992,Upper_medium,East_Germany,1
19-29,1992,Intensive,East_Germany,13
19-29,1992,Basic_incomplete,West_Germany,3
19-29,1992,Basic,West_Germany,40
19-29,1992,Medium,West_Germany,48
19-29,1992,Upper_medium,West_Germany,3
19-29,1992,Intensive,West_Germany,29
19-29,1992,Basic_incomplete,East_Germany,1
19-29,1992,Basic,East_Germany,8
19-29,1992,Medium,East_Germany,68
19-29,1992,Upper_medium,East_Germany,2
19-29,1992,Intensive,East_Germany,16
19-29,1992,Basic_incomplete,West_Germany,0
19-29,1992,Basic,West_Germany,6
19-29,1992,Medium,West_Germany,8
19-29,1992,Upper_medium,West_Germany,2
19-29,1992,Intensive,West_Germany,1
19-29,1992,Basic_incomplete,East_Germany,0
19-29,1992,Basic,East_Germany,1
19-29,1992,Medium,East_Germany,13
19-29,1992,Upper_medium,East_Germany,0
19-29,1992,Intensive,East_Germany,1
30-44,1992,Basic_incomplete,West_Germany,0
30-44,1992,Basic,West_Germany,10
30-44,1992,Medium,West_Germany,7
30-44,1992,Upper_medium,West_Germany,4
30-44,1992,Intensive,West_Germany,8
30-44,1992,Basic_incomplete,East_Germany,0
30-44,1992,Basic,East_Germany,0
30-44,1992,Medium,East_Germany,0
30-44,1992,Upper_medium,East_Germany,0
30-44,1992,Intensive,East_Germany,1
30-44,1992,Basic_incomplete,West_Germany,4
30-44,1992,Basic,West_Germany,186
30-44,1992,Medium,West_Germany,100
30-44,1992,Upper_medium,West_Germany,47
30-44,1992,Intensive,West_Germany,99
30-44,1992,Basic_incomplete,East_Germany,0
30-44,1992,Basic,East_Germany,28
30-44,1992,Medium,East_Germany,104
30-44,1992,Upper_medium,East_Germany,5
30-44,1992,Intensive,East_Germany,26
30-44,1992,Basic_incomplete,West_Germany,6
30-44,1992,Basic,West_Germany,102
30-44,1992,Medium,West_Germany,67
30-44,1992,Upper_medium,West_Germany,10
30-44,1992,Intensive,West_Germany,25
30-44,1992,Basic_incomplete,East_Germany,1
30-44,1992,Basic,East_Germany,22
30-44,1992,Medium,East_Germany,86
30-44,1992,Upper_medium,East_Germany,3
30-44,1992,Intensive,East_Germany,38
30-44,1992,Basic_incomplete,West_Germany,1
30-44,1992,Basic,West_Germany,14
30-44,1992,Medium,West_Germany,5
30-44,1992,Upper_medium,West_Germany,0
30-44,1992,Intensive,West_Germany,3
30-44,1992,Basic_incomplete,East_Germany,1
30-44,1992,Basic,East_Germany,2
30-44,1992,Medium,East_Germany,13
30-44,1992,Upper_medium,East_Germany,3
30-44,1992,Intensive,East_Germany,3
45-59,1992,Basic_incomplete,West_Germany,1
45-59,1992,Basic,West_Germany,19
45-59,1992,Medium,West_Germany,11
45-59,1992,Upper_medium,West_Germany,2
45-59,1992,Intensive,West_Germany,9
45-59,1992,Basic_incomplete,East_Germany,1
45-59,1992,Basic,East_Germany,2
45-59,1992,Medium,East_Germany,0
45-59,1992,Upper_medium,East_Germany,1
45-59,1992,Intensive,East_Germany,0
45-59,1992,Basic_incomplete,West_Germany,2
45-59,1992,Basic,West_Germany,182
45-59,1992,Medium,West_Germany,76
45-59,1992,Upper_medium,West_Germany,17
45-59,1992,Intensive,West_Germany,42
45-59,1992,Basic_incomplete,East_Germany,2
45-59,1992,Basic,East_Germany,89
45-59,1992,Medium,East_Germany,25
45-59,1992,Upper_medium,East_Germany,14
45-59,1992,Intensive,East_Germany,30
45-59,1992,Basic_incomplete,West_Germany,6
45-59,1992,Basic,West_Germany,102
45-59,1992,Medium,West_Germany,24
45-59,1992,Upper_medium,West_Germany,6
45-59,1992,Intensive,West_Germany,13
45-59,1992,Basic_incomplete,East_Germany,3
45-59,1992,Basic,East_Germany,74
45-59,1992,Medium,East_Germany,27
45-59,1992,Upper_medium,East_Germany,14
45-59,1992,Intensive,East_Germany,7
45-59,1992,Basic_incomplete,West_Germany,0
45-59,1992,Basic,West_Germany,11
45-59,1992,Medium,West_Germany,3
45-59,1992,Upper_medium,West_Germany,1
45-59,1992,Intensive,West_Germany,1
45-59,1992,Basic_incomplete,East_Germany,3
45-59,1992,Basic,East_Germany,13
45-59,1992,Medium,East_Germany,3
45-59,1992,Upper_medium,East_Germany,2
45-59,1992,Intensive,East_Germany,1
60-74,1992,Basic_incomplete,West_Germany,1
60-74,1992,Basic,West_Germany,11
60-74,1992,Medium,West_Germany,7
60-74,1992,Upper_medium,West_Germany,0
60-74,1992,Intensive,West_Germany,4
60-74,1992,Basic_incomplete,East_Germany,0
60-74,1992,Basic,East_Germany,0
60-74,1992,Medium,East_Germany,0
60-74,1992,Upper_medium,East_Germany,1
60-74,1992,Intensive,East_Germany,0
60-74,1992,Basic_incomplete,West_Germany,4
60-74,1992,Basic,West_Germany,177
60-74,1992,Medium,West_Germany,57
60-74,1992,Upper_medium,West_Germany,9
60-74,1992,Intensive,West_Germany,26
60-74,1992,Basic_incomplete,East_Germany,1
60-74,1992,Basic,East_Germany,62
60-74,1992,Medium,East_Germany,16
60-74,1992,Upper_medium,East_Germany,3
60-74,1992,Intensive,East_Germany,7
60-74,1992,Basic_incomplete,West_Germany,5
60-74,1992,Basic,West_Germany,82
60-74,1992,Medium,West_Germany,10
60-74,1992,Upper_medium,West_Germany,1
60-74,1992,Intensive,West_Germany,6
60-74,1992,Basic_incomplete,East_Germany,2
60-74,1992,Basic,East_Germany,46
60-74,1992,Medium,East_Germany,9
60-74,1992,Upper_medium,East_Germany,5
60-74,1992,Intensive,East_Germany,6
60-74,1992,Basic_incomplete,West_Germany,0
60-74,1992,Basic,West_Germany,21
60-74,1992,Medium,West_Germany,5
60-74,1992,Upper_medium,West_Germany,0
60-74,1992,Intensive,West_Germany,3
60-74,1992,Basic_incomplete,East_Germany,1
60-74,1992,Basic,East_Germany,5
60-74,1992,Medium,East_Germany,1
60-74,1992,Upper_medium,East_Germany,0
60-74,1992,Intensive,East_Germany,2
75+,1992,Basic_incomplete,West_Germany,0
75+,1992,Basic,West_Germany,12
75+,1992,Medium,West_Germany,2
75+,1992,Upper_medium,West_Germany,0
75+,1992,Intensive,West_Germany,1
75+,1992,Basic_incomplete,East_Germany,0
75+,1992,Basic,East_Germany,3
75+,1992,Medium,East_Germany,0
75+,1992,Upper_medium,East_Germany,0
75+,1992,Intensive,East_Germany,0
75+,1992,Basic_incomplete,West_Germany,3
75+,1992,Basic,West_Germany,51
75+,1992,Medium,West_Germany,16
75+,1992,Upper_medium,West_Germany,1
75+,1992,Intensive,West_Germany,6
75+,1992,Basic_incomplete,East_Germany,0
75+,1992,Basic,East_Germany,18
75+,1992,Medium,East_Germany,4
75+,1992,Upper_medium,East_Germany,1
75+,1992,Intensive,East_Germany,0
75+,1992,Basic_incomplete,West_Germany,1
75+,1992,Basic,West_Germany,22
75+,1992,Medium,West_Germany,6
75+,1992,Upper_medium,West_Germany,1
75+,1992,Intensive,West_Germany,4
75+,1992,Basic_incomplete,East_Germany,0
75+,1992,Basic,East_Germany,14
75+,1992,Medium,East_Germany,1
75+,1992,Upper_medium,East_Germany,1
75+,1992,Intensive,East_Germany,0
75+,1992,Basic_incomplete,West_Germany,0
75+,1992,Basic,West_Germany,7
75+,1992,Medium,West_Germany,1
75+,1992,Upper_medium,West_Germany,0
75+,1992,Intensive,West_Germany,0
75+,1992,Basic_incomplete,East_Germany,0
75+,1992,Basic,East_Germany,0
75+,1992,Medium,East_Germany,0
75+,1992,Upper_medium,East_Germany,0
75+,1992,Intensive,East_Germany,0
