Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income
35,0,250,48.0003,1,1,0,5.521460918
25,1,218.75,52.2,0,2,2,5.387929525
37,0,1875,163.5,0,0,0,7.536363938
29,1,781.25,87,0,0,0,6.660895201
54,0,562.5,21,0,0,0,6.332391134
34,0,218.75,60,1,0,1,5.387929525
40,0,468.75,56.4,1,0,0,6.150069577
32,1,2187.5,48.0003,0,1,1,7.690514618
62,1,781.25,56.4,0,2,2,6.660895201
36,1,937.5,48.0003,0,2,1,6.843216758
62,0,,48,0,1,1,
52,0,625,48,0,1,1,6.43775165
42,1,1250,82.2,0,3,4,7.13089883
62,0,198.019802,48.0003,0,0,0,5.288367036
41,0,1485.148515,303.6,0,0,0,7.303270056
54,0,1237.623762,48.0003,1,0,0,7.120948499
19,1,2351.485149,170.4,0,0,0,7.762802386
42,1,198.019802,48.0003,1,0,0,5.288367036
28,1,222.7722772,60,0,0,0,5.406150071
47,0,990.0990099,48.0003,0,0,1,6.897804948
30,1,742.5742574,48.0003,0,0,1,6.610122876
58,0,148.5148515,52.2,0,0,0,5.000684963
37,0,742.5742574,48.0003,0,0,1,6.610122876
38,0,1237.623762,112.5,0,0,0,7.120948499
42,0,7.425742574,48.0003,0,0,1,2.00495269
62,1,247.5247525,48.0003,0,0,0,5.511510587
28,0,371.2871287,48.0003,0,0,0,5.916975695
18,0,742.5742574,48.0003,0,1,1,6.610122876
39,1,1435.643564,197.4,0,2,2,7.269368505
39,1,1237.623762,48.0003,1,1,1,7.120948499
22,1,396.039604,48.0003,1,0,0,5.981514216
35,0,990.0990099,48.0003,1,1,1,6.897804948
45,0,990.0990099,48.0003,0,0,0,6.897804948
30,0,990.0990099,48.0003,0,0,0,6.897804948
39,0,371.2871287,48.0003,0,2,2,5.916975695
40,0,,52.2,0,0,0,
35,1,,48.0003,1,0,0,
15,1,247.5247525,48.0003,0,1,2,5.511510587
20,1,495.049505,48.0003,1,0,0,6.204657768
34,1,742.5742574,48.0003,1,0,0,6.610122876
26,1,742.5742574,48.0003,0,0,0,6.610122876
18,1,1237.623762,48.0003,0,0,0,7.120948499
32,1,990.0990099,48.0003,0,0,0,6.897804948
28,0,618.8118812,60,0,0,0,6.427801319
25,1,1113.861386,45,0,0,0,7.015587984
54,1,1406.25,48.0003,0,1,1,7.248681866
47,1,2000,161.7,0,0,0,7.60090246
42,1,,48.0003,0,0,1,
16,0,,161.7,0,1,1,
21,1,,170.4,0,1,2,
45,1,,48.0003,0,2,2,
23,0,937.5,87,0,1,2,6.843216758
47,1,875,48.0003,1,0,0,6.774223886
29,0,1562.5,161.7,1,0,0,7.354042382
54,1,937.5,161.7,1,0,0,6.843216758
19,0,,303.6,1,0,0,
29,0,781.25,48.0003,0,2,2,6.660895201
36,1,1250,48.0003,0,2,3,7.13089883
40,0,625,203.7,0,2,1,6.43775165
50,1,1250,303.6,1,1,0,7.13089883
33,1,1000,535.5,0,0,3,6.907755279
19,1,168.75,48.0003,0,1,1,5.12841833
20,0,250,48.0003,0,3,1,5.521460918
28,1,2500,45,1,3,3,7.824046011
17,1,,216.3,0,2,1,
24,1,,48.0003,0,0,1,
27,1,600,170.4,0,3,3,6.396929655
36,0,1406.25,176.4,0,1,3,7.248681866
53,0,187.5,48.0003,0,0,2,5.233778845
22,1,109.375,48.0003,1,1,2,4.694782345
34,1,937.5,190.8,0,0,2,6.843216758
41,0,2187.5,186.9,0,0,3,7.690514618
41,1,406.25,48.0003,0,1,3,6.006968734
42,0,2031.25,48.0003,0,2,1,7.616406646
24,1,1562.5,161.7,0,2,3,7.354042382
32,1,781.25,48.0003,0,0,0,6.660895201
63,0,,48,0,0,1,
46,1,,48,0,0,1,
31,1,,520.2,0,3,3,
43,1,,303.6,0,2,2,
62,1,250,176.4,0,1,2,5.521460918
39,1,1875,190.8,0,2,2,7.536363938
38,0,2812.5,161.7,0,1,0,7.941829047
28,0,781.25,190.8,0,0,0,6.660895201
22,0,375,403.8,0,0,0,5.926926026
36,1,1250,170.4,0,0,0,7.13089883
45,0,1875,48.0003,0,1,1,7.536363938
32,0,937.5,48.0003,0,0,0,6.843216758
47,0,937.5,158.4,0,2,2,6.843216758
37,1,1250,186.9,1,3,2,7.13089883
52,0,1875,48.0003,0,2,2,7.536363938
34,1,118.75,48,0,,1,4.777020443
45,0,1562.5,170.4,0,0,0,7.354042382
32,1,937.5,48.0003,0,2,1,6.843216758
29,0,1562.5,170.4,0,0,0,7.354042382
35,1,625,48.0003,0,0,0,6.43775165
20,1,156.25,161.7,0,1,1,5.051457289
51,0,1031.25,161.7,1,2,3,6.938526938
31,1,875,196.2,0,2,2,6.774223886
44,0,1281.25,170.4,0,0,0,7.155591443
42,1,937.5,138,0,0,0,6.843216758
28,0,937.5,118.5,1,2,1,6.843216758
32,0,625,180.9,0,0,0,6.43775165
33,1,1875,288,0,0,0,7.536363938
57,0,1718.75,988.5,0,0,0,7.449352561
19,0,625,82.2,0,2,2,6.43775165
48,0,937.5,161.7,0,2,1,6.843216758
35,1,625,197.4,1,1,1,6.43775165
27,1,875,170.4,1,0,0,6.774223886
65,0,1250,208.5,0,1,1,7.13089883
45,0,1718.75,48.0003,0,2,0,7.449352561
45,0,343.75,48,0,1,1,5.839914649
32,0,406.25,48,1,1,1,6.006968734
38,0,,239.1,1,0,1,
28,0,656.25,170.4,0,0,0,6.486541814
30,1,625,48.0003,0,2,1,6.43775165
28,0,562.5,160.2,1,0,0,6.332391134
23,0,2125,239.1,0,0,0,7.661527081
36,0,937.5,176.4,0,2,1,6.843216758
50,0,1093.75,170.4,0,0,0,6.997367438
28,0,,,0,0,0,
40,0,1250,161.7,0,1,2,7.13089883
33,0,468.75,48.0003,0,1,1,6.150069577
42,1,937.5,48,0,1,2,6.843216758
27,1,102.5,160.2,0,0,0,4.629862799
64,0,1875,48.0003,0,1,2,7.536363938
38,0,2500,48.0003,0,3,0,7.824046011
49,0,937.5,170.4,0,0,0,6.843216758
31,0,781.25,170.4,0,1,1,6.660895201
37,0,937.5,1005.9,0,0,0,6.843216758
29,0,1562.5,348.9,0,0,0,7.354042382
52,0,1093.75,261.3,0,0,0,6.997367438
66,1,937.5,48.0003,1,0,0,6.843216758
35,0,578.125,21,0,0,0,6.359790108
23,0,125,457.8,1,1,2,4.828313737
45,0,312.5,197.4,0,1,0,5.744604469
25,1,375,170.4,0,0,0,5.926926026
55,1,1250,48.0003,1,2,2,7.13089883
44,1,,288,0,0,0,
30,1,625,48.0003,0,0,0,6.43775165
33,1,1250,176.4,0,0,0,7.13089883
49,1,2187.5,48.0003,0,0,0,7.690514618
52,0,1172.5,48.0003,0,0,0,7.0668935
20,1,2000,535.5,0,1,1,7.60090246
23,0,1000,595.2,0,0,0,6.907755279
35,1,625,48.0003,1,0,0,6.43775165
57,1,781.25,48.0003,1,0,2,6.660895201
20,0,25,48,0,0,0,3.218875825
30,0,1758.75,48.0003,1,0,0,7.472358608
30,0,250,48,0,0,1,5.521460918
42,1,937.5,48.0003,0,0,1,6.843216758
36,0,2000,288,0,0,0,7.60090246
22,0,2500,48.0003,0,2,1,7.824046011
34,0,,48.0003,0,0,1,
40,0,2187.5,349.2,0,0,0,7.690514618
25,0,625,261.3,0,0,0,6.43775165
47,1,562.5,177.9,0,2,1,6.332391134
35,1,468.5,48.0003,0,2,2,6.149536102
29,0,468.5,48.0003,0,0,0,6.149536102
39,0,375,48,0,0,0,5.926926026
23,0,625,48,0,0,0,6.43775165
24,0,1000,535.5,0,0,0,6.907755279
39,0,781.25,52.2,0,0,0,6.660895201
45,0,1562.5,161.7,0,1,1,7.354042382
30,1,625,176.4,0,0,0,6.43775165
45,1,1250,48.0003,0,0,0,7.13089883
20,1,937.5,48,0,0,0,6.843216758
18,1,,48,0,2,1,
39,1,1093.75,48.0003,0,0,0,6.997367438
45,0,1250,118.5,1,0,0,7.13089883
42,1,6250,48.0003,0,0,0,8.740336743
40,0,2187,161.7,0,1,1,7.690286021
32,1,1562.5,197.4,1,0,0,7.354042382
21,0,2031.25,48.0003,0,0,0,7.616406646
28,0,937.5,170.4,0,0,0,6.843216758
24,1,2500,48,0,0,0,7.824046011
26,0,1250,48.0003,0,0,0,7.13089883
53,0,625,161.7,0,0,0,6.43775165
30,1,1562.5,170.4,0,0,0,7.354042382
25,1,375,48.0003,0,2,2,5.926926026
25,1,1093.75,48.0003,0,3,1,6.997367438
29,1,937.5,190.8,0,1,1,6.843216758
56,0,625,48,1,0,0,6.43775165
17,0,,48,0,1,1,
16,0,,29.4,0,2,1,
53,0,625,170.4,0,0,1,6.43775165
30,0,1172.5,457.8,0,1,1,7.0668935
27,0,1562.5,48.0003,0,1,1,7.354042382
47,1,117.25,48,1,0,0,4.764308407
33,0,625,457.8,0,0,0,6.43775165
25,0,293.13,118.5,0,1,1,5.680616197
24,0,1000,,0,0,0,6.907755279
23,1,234.5,29.4,0,1,1,5.457455588
30,1,781.25,48.0003,0,0,0,6.660895201
26,0,117.25,48,0,0,0,4.764308407
46,1,1250,87,0,0,0,7.13089883
50,0,1562.5,203.7,0,0,0,7.354042382
45,1,1187.5,48,0,0,0,7.079605536
34,1,1250,288,0,0,0,7.13089883
36,0,2187.5,48,0,0,0,7.690514618
47,0,2656.25,197.4,1,1,2,7.884670633
52,1,1031.25,48.0003,1,2,2,6.938526938
59,0,671.88,48.0003,0,2,1,6.510079753
49,1,468.75,52.2,1,0,0,6.150069577
23,1,593.75,48.0003,0,2,1,6.386458355
58,0,562.5,48.0003,1,2,2,6.332391134
47,0,1250,457.8,0,0,0,7.13089883
41,1,1093.75,48,1,3,1,6.997367438
28,0,718.75,48,0,0,0,6.577513592
36,0,781.25,196.2,0,3,0,6.660895201
26,1,937.5,48.0003,0,2,2,6.843216758
59,0,468.75,170.4,0,0,0,6.150069577
32,1,106.25,161.7,0,0,0,4.665794808
28,1,1312.5,48.0003,0,3,1,7.179688994
25,1,1562.5,48,0,0,0,7.354042382
52,1,625,163.5,0,0,2,6.43775165
43,1,625,176.4,0,0,0,6.43775165
42,0,1250,48,0,2,2,7.13089883
35,0,879.38,48,1,0,0,6.779217114
44,,656.25,48,0,1,0,6.486541814
21,0,937.5,48.0003,0,1,0,6.843216758
21,0,125,48.0003,0,0,0,4.828313737
19,0,1562.5,48.0003,1,1,0,7.354042382
42,1,1875,48.0003,0,0,1,7.536363938
40,0,2187.5,48.0003,0,1,1,7.690514618
53,0,343.75,52.2,0,1,1,5.839914649
18,0,1875,48.0003,0,2,1,7.536363938
23,1,1718.75,48.0003,0,0,0,7.449352561
21,1,1250,161.7,0,0,0,7.13089883
35,0,468.75,48.0003,0,0,1,6.150069577
27,0,2812.5,48.0003,0,1,1,7.941829047
47,1,,457.8,0,0,0,
67,1,,48.0003,0,1,1,
17,1,1875,48.0003,0,2,1,7.536363938
27,0,2187.5,170.4,0,0,0,7.690514618
46,1,1000,170.4,0,0,0,6.907755279
22,0,187.5,48.0003,0,1,,5.233778845
48,0,1250,48.0003,0,1,1,7.13089883
25,0,156.25,48,1,0,0,5.051457289
22,0,2000,535.5,0,0,0,7.60090246
27,1,1406.25,48,1,1,2,7.248681866
38,1,117.25,48.0003,0,0,0,4.764308407
16,1,469,48.0003,0,0,0,6.150602768
44,1,781.25,403.8,0,0,0,6.660895201
43,1,,48,0,0,0,
40,0,937.5,170.4,0,0,0,6.843216758
21,0,175.88,48,0,1,0,5.169801944
22,0,1000,535.5,0,0,0,6.907755279
,0,1000,48,0,0,0,6.907755279
15,1,322.44,48,0,0,0,5.775917072
28,0,351.75,48,0,0,0,5.862920696
34,1,,48,0,2,2,
41,0,,303.6,0,0,1,
28,1,375,48.0003,0,2,1,5.926926026
25,0,2125,170.4,0,0,0,7.661527081
23,1,343.75,48.0003,0,2,2,5.839914649
40,1,625,48.0003,0,2,3,6.43775165
42,1,400,535.5,1,0,0,5.991464547
24,0,1000,303.6,0,0,0,6.907755279
31,0,1312.5,48.0003,0,2,1,7.179688994
19,0,1250,48.0003,0,1,0,7.13089883
20,1,312.5,48.0003,1,1,0,5.744604469
23,1,375,48.0003,0,1,2,5.926926026
41,0,375,239.1,0,2,1,5.926926026
49,1,187.5,48.0003,1,2,1,5.233778845
28,1,1093.75,82.2,0,2,1,6.997367438
31,1,937.5,125.4,0,1,2,6.843216758
22,1,625,48.0003,1,1,2,6.43775165
26,0,3000,48,0,2,1,8.006367568
55,1,1500,48.0003,1,1,1,7.313220387
16,1,,48.0003,0,3,2,
33,0,1093.75,48,1,1,1,6.997367438
28,1,,48.0003,0,6,3,
18,1,937.5,48.0003,1,1,1,6.843216758
24,1,58.63,48.0003,1,0,0,4.071246511
28,1,,87,0,0,1,
21,0,625,48.0003,0,1,0,6.43775165
18,0,,48.0003,1,5,3,
37,0,1250,60,0,3,0,7.13089883
20,1,117.25,48.0003,0,1,0,4.764308407
33,0,431.25,48.0003,1,1,1,6.066687968
28,0,2187.5,551.7,0,0,0,7.690514618
36,0,1250,48,1,2,0,7.13089883
18,0,117.25,48.0003,0,3,2,4.764308407
20,1,3125,48.0003,0,0,1,8.047189562
41,1,,48.0003,1,1,1,
19,1,,48,0,1,3,
49,1,781.25,170.4,0,0,0,6.660895201
29,1,1500,176.4,0,2,1,7.313220387
62,0,,48.0003,0,3,3,
35,0,718.75,138,0,1,2,6.577513592
42,1,375,48,1,0,0,5.926926026
20,0,265.63,48,0,1,2,5.582104363
36,1,562.5,48,0,2,2,6.332391134
38,1,1000,87,0,2,1,6.907755279
28,0,800,261.3,0,2,1,6.684611728
38,1,1250,48.0003,0,1,1,7.13089883
17,1,2500,48.0003,0,2,1,7.824046011
24,0,203.13,177.9,1,2,2,5.313846168
50,0,,,0,0,0,
43,0,1718.75,161.7,0,0,0,7.449352561
19,1,,52.2,0,1,2,
32,1,750,48.0003,0,0,2,6.620073207
25,1,625,52.2,0,1,2,6.43775165
24,1,1562.5,48,1,3,2,7.354042382
48,4,3500,48,0,1,2,8.160518247
44,0,2500,48.0003,0,2,2,7.824046011
36,1,1562.5,48.0003,0,2,2,7.354042382
36,1,1093.75,158.4,0,1,3,6.997367438
26,0,968.75,48.0003,0,2,2,6.876006581
37,0,1562.5,48,1,0,0,7.354042382
38,0,781.25,170.4,0,0,0,6.660895201
35,1,1031.25,403.8,0,0,0,6.938526938
59,0,625,48,1,2,1,6.43775165
17,1,1562.5,48.0003,1,2,2,7.354042382
43,1,2500,48,0,0,0,7.824046011
48,1,1875,48.0003,0,3,1,7.536363938
23,1,562.5,48,0,0,0,6.332391134
28,0,781.25,48.0003,0,2,0,6.660895201
20,0,,48.0003,0,4,1,
42,0,1250,25.2,0,2,0,7.13089883
36,0,222.7722772,48.0003,0,1,1,5.406150071
22,0,297.029703,48.0003,0,0,0,5.693832144
33,0,445.5445545,21,1,0,1,6.099297252
19,1,1980.19802,48.0003,0,0,1,7.590952129
25,1,866.3366337,45,0,0,0,6.764273556
23,0,,48.0003,1,0,0,
34,0,1406.25,48,1,1,3,7.248681866
28,0,1562.5,82.2,1,2,3,7.354042382
48,1,2187.5,170.4,0,0,1,7.690514618
42,0,656.25,420.9,0,2,0,6.486541814
21,0,187.5,48.0003,0,3,1,5.233778845
32,1,,176.4,0,2,2,
18,0,375,48.0003,0,3,2,5.926926026
31,0,468.75,60,0,2,2,6.150069577
43,0,468.75,60,0,1,1,6.150069577
17,0,,190.8,0,1,0,
43,0,937.5,48.0003,0,1,2,6.843216758
20,0,1562.5,48.0003,0,3,1,7.354042382
35,1,2812.5,197.4,0,2,3,7.941829047
28,0,1250,48,0,2,1,7.13089883
29,1,156.25,48.0003,0,2,1,5.051457289
69,0,500,48.0003,0,1,1,6.214608098
46,0,2500,48.0003,0,0,0,7.824046011
32,1,2000,48.0003,0,0,0,7.60090246
64,0,1250,48.0003,1,0,0,7.13089883
53,0,250,48,0,0,0,5.521460918
28,0,312.5,48.0003,0,0,0,5.744604469
19,0,1562.5,82.2,0,1,1,7.354042382
30,0,312.5,48.0003,0,1,1,5.744604469
23,1,625,190.8,0,1,1,6.43775165
22,1,117.25,29.4,1,0,0,4.764308407
18,0,175.88,29.4,0,0,0,5.169801944
53,0,312.5,29.4,0,0,0,5.744604469
29,1,586.25,29.4,1,1,2,6.37374632
32,1,875,48,0,2,0,6.774223886
47,0,1406.25,170.4,0,2,0,7.248681866
54,0,218.75,52.2,0,0,0,5.387929525
29,0,117.25,48.0003,0,2,1,4.764308407
26,1,312.5,48.0003,0,0,0,5.744604469
36,0,,48.0003,0,0,1,
17,1,2500,176.4,0,2,1,7.824046011
35,1,3125,161.7,0,1,1,8.047189562
27,1,700,595.2,0,2,1,6.551080335
32,0,700,190.8,0,0,0,6.551080335
66,0,265.63,48.0003,0,0,1,5.582104363
53,1,156.25,29.4,1,0,0,5.051457289
31,1,312.5,48.0003,0,1,0,5.744604469
28,0,,48.0003,0,1,0,
17,0,156.25,48.0003,0,3,2,5.051457289
37,0,1562.5,48,0,3,1,7.354042382
21,0,1172.5,48.0003,0,2,2,7.0668935
38,0,900,170.4,0,2,2,6.802394763
32,1,1000,161.7,0,3,4,6.907755279
22,1,2812.5,52.2,0,4,3,7.941829047
27,1,1250,170.4,0,2,3,7.13089883
32,1,781.25,176.4,0,2,2,6.660895201
25,1,1406.25,303.6,0,2,3,7.248681866
21,1,562.5,48.0003,0,3,1,6.332391134
49,0,843.75,48.0003,0,2,2,6.737856242
55,0,3125,595.2,1,2,2,8.047189562
19,0,437.5,48.0003,0,2,1,6.081076706
20,1,1732.673267,48.0003,0,1,1,7.457420736
26,0,625,48.0003,0,2,2,6.43775165
20,1,,48.0003,0,4,2,
23,0,140.625,48.0003,0,3,2,4.946096773
19,1,,48.0003,0,,3,
19,1,1250,48.0003,0,2,2,7.13089883
47,0,,161.7,0,4,3,
25,0,1875,48.0003,0,5,3,7.536363938
21,1,937.5,48.0003,0,5,2,6.843216758
36,1,4687.5,170.4,0,1,2,8.45265467
45,0,1187.5,203.7,0,0,3,7.079605536
47,0,625,21,0,4,2,6.43775165
13,0,625,48.0003,0,3,2,6.43775165
32,0,187.5,48.0003,0,0,2,5.233778845
27,1,562.5,48.0003,0,4,3,6.332391134
35,1,1250,48.0003,0,3,2,7.13089883
24,1,1250,48.0003,0,4,3,7.13089883
30,0,562.5,82.2,0,1,0,6.332391134
28,0,1250,48.0003,0,0,0,7.13089883
38,0,1500,48.0003,0,1,0,7.313220387
22,0,1093.75,48.0003,0,5,0,6.997367438
35,0,2000,48,0,4,4,7.60090246
22,0,937.5,48.0003,0,5,2,6.843216758
27,1,93.75,48.0003,0,4,3,4.540631665
21,0,625,21,0,1,0,6.43775165
28,0,625,21,0,0,0,6.43775165
24,0,3125,48.0003,0,2,1,8.047189562
22,0,187.5,48.0003,0,6,1,5.233778845
24,0,256.63,82.2,0,0,0,5.547635359
66,0,937.5,29.4,0,0,0,6.843216758
